iter	Passed	Remaining
353	13413	24476
354	13447	24433
355	13482	24389
356	13517	24346
357	13551	24302
358	13586	24258
359	13619	24211
360	13655	24171
361	13688	24124
362	13722	24080
363	13754	24033
364	13787	23986
365	13820	23941
366	13854	23895
367	13889	23853
368	13924	23811
369	13962	23774
370	13996	23730
371	14029	23684
372	14065	23644
373	14097	23596
374	14128	23547
375	14160	23500
376	14194	23456
377	14229	23414
378	14263	23371
379	14295	23324
380	14329	23281
381	14363	23236
382	14397	23194
383	14431	23149
384	14467	23109
385	14501	23067
386	14535	23023
387	14573	22986
388	14608	22944
389	14643	22904
390	14676	22859
391	14709	22814
392	14744	22774
393	14778	22730
394	14812	22687
395	14845	22643
396	14878	22599
397	14914	22559
398	14948	22515
399	14983	22474
400	15016	22431
401	15051	22390
402	15086	22348
403	15121	22307
404	15157	22267
405	15191	22225
406	15225	22183
407	15259	22141
408	15295	22101
409	15330	22061
410	15364	22019
411	15399	21978
412	15434	21937
413	15468	21894
414	15503	21853
415	15540	21817
416	15574	21774
417	15608	21732
418	15642	21690
419	15676	21648
420	15715	21613
421	15752	21575
422	15786	21533
423	15820	21492
424	15853	21448
425	15886	21405
426	15921	21364
427	15956	21324
428	15989	21282
429	16023	21239
430	16057	21198
431	16092	21158
432	16124	21114
433	16159	21074
434	16193	21033
435	16228	20993
436	16264	20954
437	16298	20913
438	16332	20871
439	16367	20831
440	16401	20789
441	16435	20748
442	16467	20705
443	16503	20666
444	16536	20624
445	16571	20584
446	16606	20544
447	16641	20504
448	16674	20462
449	16709	20422
450	16745	20383
451	16784	20348
452	16816	20305
453	16849	20263
454	16882	20222
455	16917	20181
456	16951	20141
457	16985	20100
458	17020	20060
459	17055	20022
460	17123	20020
461	17188	20015
462	17235	19990
463	17273	19953
464	17315	19921
465	17353	19885
466	17393	19851
467	17429	19813
468	17465	19774
469	17499	19733
470	17534	19693
471	17571	19655
472	17613	19624
473	17650	19586
474	17687	19549
475	17724	19511
476	17765	19478
477	17804	19442
478	17838	19402
479	17872	19361
480	17903	19317
481	17936	19275
482	17968	19232
483	18001	19191
484	18033	19148
485	18066	19107
486	18102	19069
487	18159	19052
488	18210	19029
489	18266	19011
490	18311	18983
491	18354	18951
492	18392	18914
493	18426	18874
494	18458	18831
495	18494	18792
496	18533	18756
497	18567	18716
498	18600	18674
499	18632	18632
500	18666	18592
501	18701	18552
502	18735	18511
503	18773	18475
504	18811	18439
505	18862	18414
506	18903	18381
507	18939	18343
508	18978	18307
509	19015	18269
510	19058	18237
511	19092	18197
512	19126	18156
513	19160	18116
514	19195	18077
515	19240	18047
516	19277	18010
517	19317	17974
518	19356	17939
519	19393	17901
520	19430	17863
521	19466	17825
522	19504	17788
523	19551	17760
524	19588	17723
525	19624	17684
526	19662	17648
527	19707	17617
528	19748	17582
529	19786	17546
530	19825	17510
531	19863	17473
532	19903	17439
533	19939	17400
534	19976	17362
535	20015	17327
536	20056	17292
537	20094	17255
538	20132	17219
539	20174	17185
540	20210	17147
541	20239	17102
542	20288	17075
543	20320	17033
544	20363	17000
545	20399	16962
546	20430	16919
547	20460	16876
548	20492	16834
549	20523	16792
550	20556	16750
551	20586	16708
552	20622	16669
553	20661	16633
554	20701	16598
555	20738	16560
556	20780	16527
557	20816	16489
558	20851	16449
559	20892	16415
560	20932	16380
561	20966	16340
562	21002	16302
563	21046	16269
564	21083	16232
565	21118	16193
566	21150	16152
567	21183	16111
568	21213	16068
569	21243	16026
570	21273	15983
571	21308	15943
572	21343	15905
573	21415	15893
574	21482	15878
575	21532	15850
576	21571	15813
577	21610	15777
578	21646	15739
579	21686	15703
580	21728	15670
581	21772	15637
582	21809	15599
583	21844	15560
584	21876	15519
585	21911	15479
586	21943	15438
587	21974	15396
588	22004	15354
589	22037	15314
590	22068	15272
591	22100	15231
592	22132	15190
593	22173	15155
594	22211	15118
595	22250	15082
596	22290	15046
597	22330	15011
598	22372	14977
599	22408	14939
600	22443	14900
601	22479	14861
602	22516	14824
603	22550	14784
604	22583	14744
605	22615	14703
606	22643	14660
607	22679	14622
608	22711	14581
609	22741	14539
610	22772	14498
611	22803	14457
612	22834	14416
613	22864	14373
614	22894	14332
615	22925	14290
616	22955	14249
617	22987	14209
618	23021	14169
619	23052	14128
620	23083	14088
621	23115	14047
622	23147	14007
623	23180	13967
624	23210	13926
625	23243	13886
626	23275	13846
627	23310	13808
628	23352	13773
629	23388	13736
630	23429	13701
631	23469	13665
632	23508	13629
633	23546	13593
634	23582	13555
635	23615	13515
636	23650	13477
637	23679	13435
638	23709	13394
639	23740	13353
640	23770	13313
641	23803	13273
642	23835	13233
643	23871	13196
644	23902	13155
645	23932	13114
646	23964	13075
647	23996	13035
648	24027	12994
649	24059	12955
650	24089	12914
651	24120	12874
652	24154	12835
653	24185	12795
654	24217	12755
655	24247	12715
656	24282	12677
657	24313	12637
658	24347	12598
659	24378	12558
660	24409	12518
661	24439	12478
662	24473	12439
663	24503	12399
664	24533	12358
665	24564	12319
666	24594	12278
667	24624	12238
668	24656	12199
669	24688	12159
670	24719	12120
671	24749	12080
672	24780	12040
673	24811	12000
674	24842	11960
675	24872	11920
676	24903	11881
677	24933	11841
678	24967	11803
679	24998	11763
680	25032	11725
681	25064	11687
682	25099	11649
683	25135	11612
684	25171	11575
685	25203	11536
686	25239	11499
687	25271	11460
688	25306	11422
689	25338	11384
690	25370	11345
691	25404	11307
692	25439	11269
693	25473	11231
694	25512	11195
695	25544	11157
696	25578	11119
697	25612	11081
698	25648	11044
699	25680	11006
700	25716	10969
701	25748	10930
702	25780	10891
703	25813	10853
704	25850	10816
705	25882	10778
706	25913	10739
707	25944	10700
708	25975	10661
709	26007	10622
710	26039	10584
711	26070	10545
712	26102	10506
713	26133	10468
714	26164	10429
715	26196	10390
716	26226	10351
717	26258	10313
718	26289	10274
719	26318	10235
720	26349	10196
721	26380	10157
722	26410	10118
723	26441	10079
724	26469	10040
725	26501	10001
726	26531	9962
727	26562	9924
728	26595	9886
729	26627	9848
730	26660	9810
731	26696	9774
732	26733	9737
733	26772	9702
734	26812	9666
735	26849	9630
736	26888	9595
737	26926	9559
738	26962	9522
739	26998	9485
740	27034	9449
741	27072	9413
742	27104	9375
743	27133	9336
744	27163	9297
745	27194	9259
746	27225	9220
747	27255	9182
748	27286	9143
749	27318	9106
750	27348	9067
751	27378	9028
752	27410	8991
753	27440	8952
754	27471	8914
755	27501	8876
756	27532	8837
757	27561	8799
758	27592	8761
759	27625	8723
760	27657	8686
761	27698	8651
762	27740	8616
763	27777	8580
764	27815	8544
765	27856	8509
766	27896	8474
767	27932	8437
768	27966	8400
769	28002	8364
770	28033	8326
771	28066	8288
772	28096	8250
773	28128	8213
774	28159	8175
775	28188	8136
776	28219	8098
777	28250	8061
778	28279	8022
779	28309	7984
780	28341	7947
781	28371	7909
782	28403	7871
783	28435	7834
784	28466	7796
785	28495	7758
786	28525	7720
787	28556	7682
788	28589	7645
789	28618	7607
790	28650	7570
791	28680	7532
792	28712	7495
793	28746	7458
794	28777	7420
795	28807	7382
796	28838	7345
797	28872	7308
798	28903	7271
799	28934	7233
800	28965	7196
801	28995	7158
802	29026	7121
803	29055	7083
804	29089	7046
805	29121	7009
806	29154	6972
807	29199	6938
808	29240	6903
809	29281	6868
810	29319	6832
811	29357	6796
812	29393	6760
813	29432	6725
814	29470	6689
815	29509	6654
816	29549	6618
817	29589	6583
818	29624	6547
819	29662	6511
820	29703	6476
821	29743	6440
822	29783	6405
823	29825	6370
824	29858	6333
825	29898	6298
826	29937	6262
827	29968	6225
828	29999	6188
829	30029	6150
830	30061	6113
831	30096	6077
832	30129	6040
833	30159	6002
834	30189	5965
835	30220	5928
836	30251	5891
837	30282	5854
838	30314	5817
839	30345	5780
840	30377	5743
841	30411	5706
842	30447	5670
843	30489	5635
844	30526	5599
845	30566	5564
846	30603	5528
847	30640	5492
848	30673	5455
849	30724	5421
850	30764	5386
851	30803	5350
852	30835	5314
853	30866	5276
854	30897	5240
855	30927	5202
856	30960	5166
857	30991	5129
858	31023	5092
859	31057	5055
860	31087	5018
861	31117	4981
862	31149	4944
863	31180	4907
864	31212	4871
865	31242	4834
866	31272	4797
867	31305	4760
868	31335	4723
869	31367	4687
870	31399	4650
871	31431	4613
872	31463	4577
873	31492	4540
874	31522	4503
875	31556	4466
876	31586	4430
877	31617	4393
878	31647	4356
879	31678	4319
880	31709	4283
881	31742	4246
882	31772	4209
883	31803	4173
884	31838	4137
885	31869	4100
886	31901	4064
887	31933	4027
888	31965	3991
889	31995	3954
890	32025	3917
891	32054	3881
892	32086	3844
893	32118	3808
894	32151	3771
895	32183	3735
896	32215	3699
897	32248	3662
898	32279	3626
899	32318	3590
900	32367	3556
901	32409	3521
902	32455	3486
903	32504	3451
904	32550	3416
905	32593	3381
906	32638	3346
907	32682	3311
908	32729	3276
909	32770	3241
910	32812	3205
911	32860	3170
912	32901	3135
913	32934	3098
914	32965	3062
915	33001	3026
916	33034	2990
917	33068	2953
918	33101	2917
919	33135	2881
920	33168	2845
921	33201	2808
922	33236	2772
923	33271	2736
924	33307	2700
925	33343	2664
926	33381	2628
927	33415	2592
928	33446	2556
929	33476	2519
930	33509	2483
931	33540	2447
932	33576	2411
933	33609	2374
934	33641	2338
935	33672	2302
936	33702	2265
937	33735	2229
938	33767	2193
939	33797	2157
940	33827	2120
941	33859	2084
942	33891	2048
943	33923	2012
944	33956	1976
945	33988	1940
946	34020	1904
947	34053	1867
948	34084	1831
949	34114	1795
950	34146	1759
951	34175	1723
952	34206	1686
953	34240	1651
954	34271	1614
955	34303	1578
956	34333	1542
957	34366	1506
958	34397	1470
959	34428	1434
960	34457	1398
961	34487	1362
962	34518	1326
963	34547	1290
964	34578	1254
965	34611	1218
966	34642	1182
967	34674	1146
968	34705	1110
969	34735	1074
970	34770	1038
971	34800	1002
972	34830	966
973	34860	930
974	34891	894
975	34922	858
976	34958	822
977	35021	787
978	35075	752
979	35108	716
980	35141	680
981	35172	644
982	35201	608
983	35233	572
984	35265	537
985	35297	501
986	35329	465
987	35359	429
988	35390	393
989	35426	357
990	35458	322
991	35490	286
992	35522	250
993	35554	214
994	35591	178
995	35628	143
996	35663	107
997	35697	71
998	35730	35
999	35767	0
